Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2021-22 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2021-22,15 Mar 2023,SDPAFY22108ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SikkimNSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Net State Value Added by economic activity at current prices for 2011-12 to 2021-22 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2021-22,15 Mar 2023,SDPAFY22107ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SikkimNSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
GROSS STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23109ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_GSDP_Constant.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
GROSS STATE DOMESTIC PRODUCT AT CURRENT PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23110ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_GSDP_Current.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
NET STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23111ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_NSDP_Constant.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
NET STATE DOMESTIC PRODUCT AT CURRENT PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23112ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_NSDP_Current.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
PER CAPITA NET STATE DOMESTIC PRODUCT AT CONSTANT PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23113ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_Per_Capita_NSDP_Constant.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
PER CAPITA NET STATE DOMESTIC PRODUCT AT CURRENT PRICES (FOR 2011-12-2022-23); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23114ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/State_wise_SDP_15_03_2023_Rev_Per_Capita_NSDP_Current.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2022-23- Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23116ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/TamilNaduGSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
Gross State Value Added by economic activity at current prices for 2011-12 to 2022-23 - Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,15 Mar 2023,SDPAFY23115ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/TamilNaduGSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
