Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto December 2022,IIP,Industrial Statistics,All India,Monthly,Dec 2022,10 Feb 2023,IIPMFY23013DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_dec22_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto December 2022,IIP,Industrial Statistics,All India,Monthly,Dec 2022,10 Feb 2023,IIPMFY23014DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_dec22_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto December 2022,IIP,Industrial Statistics,All India,Monthly,Dec 2022,10 Feb 2023,IIPMFY23015DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_dec22_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto December 2022,IIP,Industrial Statistics,All India,Monthly,Dec 2022,10 Feb 2023,IIPMFY23016DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_dec22_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto November 2022,IIP,Industrial Statistics,All India,Monthly,Nov 2022,12 Jan 2023,IIPMFY23017NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_nov22_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto November 2022,IIP,Industrial Statistics,All India,Monthly,Nov 2022,12 Jan 2023,IIPMFY23018NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_nov22_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto November 2022,IIP,Industrial Statistics,All India,Monthly,Nov 2022,12 Jan 2023,IIPMFY23019NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_nov22_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto November 2022,IIP,Industrial Statistics,All India,Monthly,Nov 2022,12 Jan 2023,IIPMFY23020NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_nov22_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto October 2022,IIP,Industrial Statistics,All India,Monthly,Oct 2022,12 Dec 2022,IIPMFY23021OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_oct22_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto October 2022,IIP,Industrial Statistics,All India,Monthly,Oct 2022,12 Dec 2022,IIPMFY23022OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2022-23/IndicesIIP2011-12Monthly_annual_oct22_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
