Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Percentage distribution of persons of age 15 years and above working according to CWS by broad status in employment for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24023ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_5.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Percentage distribution of persons of age 15 years and above working according to CWS by broad industry of work for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24022ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_4.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Labour Force Participation Rate (LFPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24020ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_2.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Worker Population Ratio (WPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24021ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_3.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Unemployment Rate (UR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24024ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_7.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
"Number of Urban Frame Survey (UFS) blocks, households and persons surveyed by age and gender for all India",PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Feb 2025,PLFQAY24019ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_1.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Percentage distribution of persons of age 15 years and above working according to CWS by broad status in employment for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Nov 2024,PLFQAY24017ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20July-Sep%202024/Table_5.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Percentage distribution of persons of age 15 years and above working according to CWS by broad industry of work for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Nov 2024,PLFQAY24016ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20July-Sep%202024/Table_4.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Labour Force Participation Rate (LFPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Nov 2024,PLFQAY24014ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20July-Sep%202024/Table_2.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
Worker Population Ratio (WPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,18 Nov 2024,PLFQAY24015ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20July-Sep%202024/Table_3.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released."
