Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,12 Mar 2025,IIPMFY24037JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,12 Mar 2025,IIPMFY24038JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,12 Mar 2025,IIPMFY24039JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011_12Monthly_annual_jan25_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,12 Mar 2025,IIPMFY24040JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,12 Feb 2025,IIPMFY24033DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,12 Feb 2025,IIPMFY24034DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,12 Feb 2025,IIPMFY24035DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011_12Monthly_annual_dec24_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,12 Feb 2025,IIPMFY24036DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,10 Jan 2025,IIPMFY24029NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_nov24_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,10 Jan 2025,IIPMFY24030NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_nov24_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
