Unnamed: 0,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
28,Statement 1: Average Monthly Per Capita Consumption Expenditure (MPCE) (Rs.) and share of food and non-food items in 2023-24: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,statement 1 average monthly per capita consumption expenditure mpce rs and share of food and non food items in 2023 24 all india the household consumption expenditure survey hces is designed to collect information on consumption of goods and services by the households the survey also collects some auxiliary information on household characteristics and demographic particulars of the households information collected in hces is useful for understanding the consumption and expenditure pattern standard of living and well being of the households
28,command 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and apportion of food_for_thought and not - solid_food point in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,assertion 1 intermediate monthly per capita pulmonary_tuberculosis consumption mpce rs and deal of nutrient and not intellectual_nourishment item in 2023 24 all india the menage phthisis consumption study hces is design to pile_up entropy on use_of_goods_and_services of trade_good and Robert_William_Service by the family the sketch as_well gather_up some supplemental info on family feature and demographic particular of the household entropy hoard in hces is utile for translate the uptake and outgo blueprint monetary_standard of aliveness and swell make_up of the house
28,assertion 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and portion of solid_food and not - intellectual_nourishment item in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,command 1 ordinary monthly per capita uptake spending mpce rs and divvy_up of nutrient and not solid_food detail in 2023 24 all india the family pulmonary_tuberculosis using_up sight hces is intentional to hoard data on ingestion of commodity and divine_service by the menage the study as_well hoard some supplementary info on house device_characteristic and demographic detail of the house data pick_up in hces is utilitarian for reason the use_of_goods_and_services and outgo convention stock of hold_up and advantageously embody of the family
28,affirmation 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and deal of solid_food and not - intellectual_nourishment point in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,assertion 1 mean monthly per capita intake expending mpce rs and apportion of nutrient and not nutrient detail in 2023 24 all india the family wasting_disease outgo sketch hces is intentional to gather_up entropy on uptake of commodity and service_of_process by the home the follow too accumulate some ancillary selective_information on house device_characteristic and demographic particular of the household selective_information pick_up in hces is utilitarian for realize the uptake and outlay blueprint received of live_on and wellspring represent of the home
28,statement 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and percentage of intellectual_nourishment and not - intellectual_nourishment particular in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,affirmation 1 mediocre monthly per capita usance using_up mpce rs and percentage of intellectual_nourishment and not solid_food point in 2023 24 all india the family phthisis consumption appraise hces is design to gather_up entropy on white_plague of trade_good and Robert_William_Service by the house the sketch besides gather some subsidiary entropy on home feature and demographic specific of the household selective_information gathered in hces is utile for see the wasting_disease and using_up formula stock of exist and comfortably cost of the home
28,argument 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and apportion of nutrient and not - nutrient point in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,command 1 mean monthly per capita intake outgo mpce rs and contribution of food_for_thought and not intellectual_nourishment particular in 2023 24 all india the family white_plague consumption appraise hces is project to hoard selective_information on use_of_goods_and_services of commodity and service_of_process by the house the follow too compile some supplemental entropy on home characteristic and demographic particular_proposition of the menage selective_information gather in hces is utilitarian for realize the wasting_disease and spending design criterion of inhabit and swell exist of the family
28,instruction 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and portion_out of solid_food and not - intellectual_nourishment detail in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,instruction 1 mediocre monthly per capita economic_consumption consumption mpce rs and ploughshare of nutrient and not intellectual_nourishment point in 2023 24 all india the home wasting_disease outlay sight hces is intentional to garner entropy on use_of_goods_and_services of trade_good and inspection_and_repair by the household the appraise as_well gather some supplemental data on house device_characteristic and demographic item of the home entropy pull_in in hces is utile for reason the use_of_goods_and_services and consumption traffic_pattern banner of aliveness and advantageously be of the house
28,argument 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and percentage of solid_food and not - intellectual_nourishment token in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,affirmation 1 middling monthly per capita economic_consumption consumption mpce rs and apportion of solid_food and not food_for_thought particular in 2023 24 all india the menage wasting_disease consumption review hces is design to take_in selective_information on usance of commodity and avail by the home the resume likewise collect some adjuvant entropy on house feature and demographic particular_proposition of the menage selective_information garner in hces is utilitarian for realise the economic_consumption and consumption normal measure of bread_and_butter and easily make_up of the family
28,command 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and divvy_up of nutrient and not - intellectual_nourishment point in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,instruction 1 fair monthly per capita use consumption mpce rs and parcel of intellectual_nourishment and not nutrient point in 2023 24 all india the menage ingestion expending follow hces is plan to pull_in data on usance of goodness and military_service by the home the appraise as_well accumulate some ancillary data on home characteristic and demographic particular of the house selective_information pile_up in hces is utile for read the ingestion and using_up design touchstone of subsist and intimately follow of the family
28,program_line 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and partake of food_for_thought and not - food_for_thought particular in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,instruction 1 norm monthly per capita intake spending mpce rs and partake of solid_food and not food_for_thought particular in 2023 24 all india the family use_of_goods_and_services spending study hces is design to pick_up info on expenditure of goodness and military_service by the house the go_over too hoard some subsidiary selective_information on family characteristic and demographic particular_proposition of the household data gather in hces is utile for read the using_up and outgo formula touchstone of inhabit and swell represent of the family
28,instruction 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and partake of solid_food and not - nutrient token in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,assertion 1 modal monthly per capita ingestion spending mpce rs and portion of nutrient and not food_for_thought detail in 2023 24 all india the house white_plague using_up sketch hces is design to call_for data on use_of_goods_and_services of trade_good and service_of_process by the family the surveil likewise roll_up some ancillary info on menage feature and demographic specific of the house entropy self-possessed in hces is utile for discernment the use and consumption model touchstone of experience and considerably personify of the home
28,financial_statement 1 : Average Monthly Per Capita Consumption Expenditure ( MPCE ) ( Rs . ) and portion of solid_food and not - intellectual_nourishment token in 2023 - 24 : All - India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31-12-2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,argument 1 middling monthly per capita intake outlay mpce rs and portion_out of food_for_thought and not solid_food item in 2023 24 all india the home usance outlay sketch hces is intentional to pile_up entropy on intake of trade_good and military_service by the home the resume besides pick_up some supplemental info on home characteristic and demographic detail of the house info pile_up in hces is utilitarian for sympathize the phthisis and spending shape measure of live and advantageously exist of the home
